JobDate,Employer,SOC,MinHrlySalary,Exp,Edu,NAICS3,SK
2022-08-11,Emerson Electric Company,11-2022,33.65,3.0,18.0,334.0,"market strategy,sales planning,business development,business process,sales strategy,sales leadership,business administration,sales channels"
2022-04-13,Tignis,11-3051,53.85,7.0,16.0,334.0,"machine learning,physics,differential equations,verbal / oral communication,communication skills,process control,sales goals,marketing development,product marketing,business development,technical writing / editing,social media,teamwork / collaboration,detail-oriented,manufacturing processes,multi-tasking,process engineering,online advertising,product management,semiconductor industry knowledge,project management,self-starter,artificial intelligence,creativity,email marketing,data science,business case analysis"
2022-07-23,Revert Systems,11-2022,48.08,3.0,0.0,334.0,"opiate,pain management,internal medicine,medical sales,epidemic,toxicology"
2022-01-13,Intel Corporation,11-2022,63.42,5.0,18.0,334.0,"business development,analytical skills,teamwork / collaboration,semiconductor industry knowledge,tax preparation,due diligence,tax accounting,mergers and acquisitions,tax compliance,project management,business operations,communication skills,public accounting,tax law,verbal / oral communication,technical assistance,tax planning,research"
2022-07-01,McCain Foods,11-3051,26.44,3.0,16.0,311.0,"research,decision making,writing,bilingual,quality management,internal auditing,cleaning,oral communication,planning,computer literacy,communication skills,english,performance analysis,leadership,spanish,microsoft excel,inventory maintenance,quality assurance and control,staff management,detail-oriented,multi-tasking,teamwork / collaboration,food safety,organizational skills"
2022-06-14,Atomwise,11-9199,52.88,10.0,16.0,325.0,"microsoft excel,pharmaceutical industry knowledge,drug discovery,drug development,teamwork / collaboration,leadership,budgeting,communication skills,investor relations,troubleshooting,microsoft project,smartsheet,scenario planning,project management,written communication,pharmaceutical development"
2022-08-30,Swagelok Company,11-9199,55.77,5.0,16.0,332.0,"new product development,written communication,americans with disabilities act (ada),supply chain solutions,family medical leave act (fmla),supply chain knowledge,supply chain management,inventory management,inventory control,key performance indicators (kpis),manufacturing resource planning (mrp),scheduling,teamwork / collaboration,operations management,communication skills,supply chain improvement,supply chain strategy,planning,material requirement planning (mrp),problem solving"
2022-07-07,Sanitation Specialists,11-9199,29.81,1.0,0.0,311.0,"written communication,cost control,qc processes,chemistry,customer contact,quality assurance and control,detail-oriented,equipment cleaning,organizational skills,food safety,good manufacturing practices (gmp),hazard analysis critical control point (haccp),food processing equipment,personal protective equipment (ppe),pathology,time management,physical abilities,cleaning,positive disposition,technical training"
2022-11-02,Crane Company,11-3111,66.83,7.0,16.0,336.0,"site and study management,human resource information system (hris),microsoft excel,invoice processing,detail-oriented,external auditing,organizational skills,mergers and acquisitions,benchmarking,key performance indicators (kpis),accounting,budgeting,claims knowledge,planning,hrms,strategic leadership,problem solving,benefits administration / management,change management,microsoft sharepoint,vendor relations,business strategy,communication skills,microsoft powerpoint,project management,hr policies,root cause analysis,customer service,presentation skills,employee retirement income security act (erisa)"
2022-03-17,Biolife Plasma Services,11-1021,24.04,3.0,16.0,325.0,"fda regulations,quality management,facility management,teamwork / collaboration,leadership,following sops,good manufacturing practices (gmp),physical abilities,current good manufacturing practices (cgmp)"
2022-09-02,Masco Corporation,11-2022,113.0,4.0,16.0,337.0,"project management,strategic development,creativity,customer accounts,business management,e-commerce,troubleshooting,marketing materials,sales support,microsoft excel,business planning,budgeting,client base retention,communication skills,marketing programs,online sales"
2022-08-03,Northrop Grumman,11-9199,34.81,10.0,16.0,336.0,"onboarding,project management,microsoft office,cost control,presentation skills,event planning,budgeting,detail-oriented,organizational skills,scheduling,problem solving,planning,microsoft sharepoint,communication skills,stakeholder management,verbal / oral communication"
2022-05-14,Intel Corporation,11-9199,62.59,8.0,16.0,334.0,"program management,meeting deadlines,systems development life cycle (sdlc),product delivery,firmware,software architecture,communication skills,enterprise software,software quality assurance,application layer,atlassian jira,software development,simulation,planning,vaccination,devops,open source development"
2022-01-18,Nordson Corporation,11-9199,39.03,3.0,16.0,325.0,"geometry,trigonometry,5s methodology,repair,calipers,microscope,training materials,planning,process management,machine tools,analytical skills,leadership,problem solving,teamwork / collaboration,organizational skills,supplier review,autocad,computer aided drafting/design (cad),talent management,supervisory skills,building effective relationships,detail-oriented,multi-tasking,business process,microsoft operating systems,pro/engineer,enterprise resource planning (erp),critical thinking,preventive maintenance,scheduling,kanban,budgeting,computer literacy,solidedge,mastercam,machining,lean manufacturing,microsoft excel,physical abilities,communication skills,time management,written communication,computer aided manufacturing (cam),estimating repair cost"
2022-03-25,Upslope,11-2022,23.32,5.0,16.0,312.0,"scheduling,marketing sales,promotional events,brand awareness generation,music,cold calling,sales management,communication skills,time management,beverage industry knowledge,sales,account information maintenance,crm software,business management,building effective relationships,consultative sales,microsoft office,written communication"
2022-03-08,Cutting Edge Countertops Incorporated,11-9199,36.06,5.0,0.0,337.0,"supply chain knowledge,supply chain management,building effective relationships,organizational skills,purchasing,forklift operation,leadership,contract negotiation"
2022-11-20,Crane Company,11-3031,38.46,5.0,0.0,336.0,"netsuite,accounting software,customer service,industrial equipment industry knowledge,microsoft excel,industrial mechanic experience,leadership,hoisting equipment,physical abilities,communication skills"
2022-04-19,Anderson Windows,11-3121,57.69,10.0,16.0,321.0,"project management,conflict management,creativity,onboarding,employee engagement,communication skills,performance management,problem solving,business solutions,planning,multi-tasking,teamwork / collaboration"
2022-05-14,Moderna,11-9041,48.08,10.0,16.0,325.0,"microsoft office,self-starter,teaching,customer service,microsoft powerpoint,communication skills,clinical research,planning,leadership,key performance indicators (kpis),clinical trials,detail-oriented,teamwork / collaboration,microsoft excel,chatbot"
2022-09-25,Micron Technology,11-9199,50.0,8.0,16.0,334.0,"supply chain knowledge,building effective relationships,policy development,research,teamwork / collaboration,energetic,organizational skills,thought leadership,communication skills"
2022-01-15,The Boeing Company,11-9199,30.29,10.0,16.0,336.0,"aerospace industry knowledge,microsoft office,project management,scheduling,business acumen,planning,primavera,microsoft project,change management,teamwork / collaboration"
2022-11-29,Linde,11-3031,13.94,2.0,12.0,325.0,"government regulations,retail sales,sarbanes-oxley (sox),customer complaint resolution,inventory management,scheduling,staff management,inventory maintenance,business planning,retail industry knowledge"
2022-07-03,Pioneer Data Systems Incorporated,11-9199,31.0,1.0,14.0,325.0,"microsoft excel,business planning,negotiation skills,communication skills,english,problem solving,microsoft project,presentation skills,project management,conflict management"
